timestamp,close_mean,close_min,close_max,volume_mean
2026-04-08 13:30:00,72605.19,71641.01,73255.74,527.0733
2026-04-08 13:45:00,72629.836,72042.51,74024.125,487.9146
2026-04-08 14:00:00,72593.54,71865.33,73276.945,449.01282
2026-04-08 14:15:00,72546.18,71767.41,73315.28,390.857
2026-04-08 14:30:00,72515.4,71560.62,73543.72,425.90363
2026-04-08 14:45:00,72515.01,71487.56,73567.234,415.73453
2026-04-08 15:00:00,72476.3,71220.79,73984.6,480.26422
2026-04-08 15:15:00,72421.89,70942.71,73637.305,340.69687
2026-04-08 15:30:00,72381.92,71072.29,73466.836,323.48544
2026-04-08 15:45:00,72364.26,71229.766,73353.27,285.8532
2026-04-08 16:00:00,72396.7,70841.516,73236.23,378.46188
2026-04-08 16:15:00,72400.99,70995.266,73486.445,283.87686
2026-04-08 16:30:00,72332.84,70593.766,73385.03,244.22731
2026-04-08 16:45:00,72319.82,70872.87,73337.81,232.894
2026-04-08 17:00:00,72348.66,70862.7,74245.51,276.89206
2026-04-08 17:15:00,72279.92,70929.65,73988.56,262.48428
2026-04-08 17:30:00,72228.14,70781.93,73726.37,235.52992
2026-04-08 17:45:00,72261.58,70346.61,74054.516,200.40584
2026-04-08 18:00:00,72259.33,70132.34,74511.055,249.42117
2026-04-08 18:15:00,72261.34,70459.28,74218.71,226.46548
2026-04-08 18:30:00,72220.58,70322.32,74446.43,214.48082
2026-04-08 18:45:00,72241.6,70141.66,74415.59,180.88315
2026-04-08 19:00:00,72244.24,70214.39,74751.06,219.30978
2026-04-08 19:15:00,72251.78,70165.12,74792.3,202.37445
