timestamp,close_mean,close_min,close_max,volume_mean
2026-04-08 09:45:00,71528.08,71303.5,71790.516,138.76495
2026-04-08 10:00:00,71488.01,71053.97,71849.77,159.13704
2026-04-08 10:15:00,71485.61,70996.55,71878.36,149.31212
2026-04-08 10:30:00,71409.74,70923.28,71865.94,162.69292
2026-04-08 10:45:00,71379.734,70684.45,71877.984,171.97554
2026-04-08 11:00:00,71370.67,70821.4,71918.57,162.09138
2026-04-08 11:15:00,71303.1,70733.09,71906.24,156.24771
2026-04-08 11:30:00,71284.63,70701.34,71977.84,201.08942
2026-04-08 11:45:00,71251.92,70702.7,71860.89,166.85446
2026-04-08 12:00:00,71242.13,70666.83,71994.055,179.69353
2026-04-08 12:15:00,71179.47,70310.84,72012.58,172.14185
2026-04-08 12:30:00,71122.34,70507.08,72059.91,187.83661
2026-04-08 12:45:00,71062.88,70171.53,72001.625,186.9314
2026-04-08 13:00:00,71026.88,70140.555,71713.05,209.29166
2026-04-08 13:15:00,70970.71,70153.47,71439.08,203.9871
2026-04-08 13:30:00,70922.0,70066.27,71552.39,231.8057
2026-04-08 13:45:00,70896.414,68818.664,71599.76,223.94125
2026-04-08 14:00:00,70889.28,70091.51,71558.96,235.43456
2026-04-08 14:15:00,70805.73,69965.46,71467.6,228.38113
2026-04-08 14:30:00,70685.51,69697.23,71435.19,259.202
2026-04-08 14:45:00,70608.05,69670.86,71372.85,284.85626
2026-04-08 15:00:00,70581.445,69666.37,71391.7,274.6509
2026-04-08 15:15:00,70581.4,69771.71,71484.25,254.00874
2026-04-08 15:30:00,70478.766,69451.22,71567.8,217.70372
