timestamp,close_mean,close_min,close_max,volume_mean
2026-04-08 11:15:00,2248.8594,2239.4297,2267.8022,2011.754
2026-04-08 11:30:00,2248.2192,2239.9673,2256.4321,2295.218
2026-04-08 11:45:00,2247.9343,2229.9285,2256.905,2070.4956
2026-04-08 12:00:00,2250.2732,2237.8257,2272.1414,3049.5842
2026-04-08 12:15:00,2249.5073,2228.511,2266.9038,2607.665
2026-04-08 12:30:00,2248.9158,2232.2383,2272.2302,2915.3728
2026-04-08 12:45:00,2248.4048,2223.0347,2276.5225,3055.079
2026-04-08 13:00:00,2246.7188,2224.8035,2275.3923,3537.0813
2026-04-08 13:15:00,2247.1658,2211.3464,2268.8335,2929.7383
2026-04-08 13:30:00,2246.0469,2207.467,2272.523,3970.77
2026-04-08 13:45:00,2245.7288,2216.5405,2277.954,4216.719
2026-04-08 14:00:00,2247.3086,2216.7817,2277.3557,4431.0464
2026-04-08 14:15:00,2244.349,2215.6912,2268.7886,3666.7112
2026-04-08 14:30:00,2242.3484,2217.958,2272.4932,4254.544
2026-04-08 14:45:00,2239.968,2214.9624,2259.0833,4389.0703
2026-04-08 15:00:00,2241.2585,2203.0437,2271.0317,5547.8257
2026-04-08 15:15:00,2241.2366,2201.445,2264.1755,3173.9536
2026-04-08 15:30:00,2239.6423,2199.363,2267.4875,3968.4402
2026-04-08 15:45:00,2240.2437,2196.829,2268.533,2951.3147
2026-04-08 16:00:00,2234.9502,2187.0376,2264.8765,4870.4663
2026-04-08 16:15:00,2238.1165,2187.4253,2271.3022,3477.6667
2026-04-08 16:30:00,2236.7922,2183.099,2269.2769,3331.8762
2026-04-08 16:45:00,2236.9248,2183.8062,2271.7715,2793.3772
2026-04-08 17:00:00,2239.772,2187.9993,2275.3013,3536.9202
