timestamp,close_mean,close_min,close_max,volume_mean
2026-04-08 12:15:00,2254.7815,2245.7205,2266.743,3084.8416
2026-04-08 12:30:00,2252.0688,2220.2886,2264.109,3030.6094
2026-04-08 12:45:00,2250.0437,2208.8176,2265.2563,3178.646
2026-04-08 13:00:00,2247.408,2210.286,2267.8176,3815.0986
2026-04-08 13:15:00,2241.691,2182.5405,2267.6282,4879.346
2026-04-08 13:30:00,2233.8132,2178.5188,2268.0125,5919.824
2026-04-08 13:45:00,2227.7979,2167.9712,2272.0247,6819.628
2026-04-08 14:00:00,2221.5393,2167.9775,2261.9788,8532.759
2026-04-08 14:15:00,2217.6816,2169.0188,2266.8079,6947.7124
2026-04-08 14:30:00,2215.7444,2166.4194,2262.888,6674.504
2026-04-08 14:45:00,2211.4795,2177.1504,2255.25,6689.058
2026-04-08 15:00:00,2209.5425,2180.9436,2260.397,6937.201
2026-04-08 15:15:00,2204.9797,2182.2253,2246.0674,5974.3843
2026-04-08 15:30:00,2200.212,2171.8474,2235.3508,7097.4023
2026-04-08 15:45:00,2200.2031,2169.2827,2229.4548,5455.288
2026-04-08 16:00:00,2198.5996,2158.2085,2229.5005,5707.1167
2026-04-08 16:15:00,2195.3813,2161.015,2224.023,4781.4854
2026-04-08 16:30:00,2193.5437,2164.0398,2224.301,5165.2036
2026-04-08 16:45:00,2191.8752,2158.0168,2223.5386,4390.5405
2026-04-08 17:00:00,2189.5579,2150.6548,2224.352,5052.9004
2026-04-08 17:15:00,2185.2212,2144.1597,2226.8164,5391.294
2026-04-08 17:30:00,2178.995,2120.7803,2221.6704,5750.2837
2026-04-08 17:45:00,2175.7085,2113.7139,2223.0933,5288.5664
2026-04-08 18:00:00,2173.8215,2123.234,2223.0742,6334.436
