timestamp,close_mean,close_min,close_max,volume_mean
2026-04-08 07:00:00,71618.33,71034.92,72408.63,722.1122
2026-04-08 08:00:00,71592.83,70547.484,72692.7,980.15015
2026-04-08 09:00:00,71630.336,70554.3,72581.43,898.65204
2026-04-08 10:00:00,71604.66,70316.56,72781.7,886.51324
2026-04-08 11:00:00,71509.35,70402.71,72699.47,691.76135
2026-04-08 12:00:00,71505.79,70353.086,72969.195,822.214
2026-04-08 13:00:00,71423.57,69913.27,73171.26,995.811
2026-04-08 14:00:00,71428.9,70097.06,73092.07,1072.5579
2026-04-08 15:00:00,71483.25,70138.6,72978.32,1241.6659
2026-04-08 16:00:00,71334.96,70181.64,73326.88,975.778
2026-04-08 17:00:00,71259.02,69343.26,73119.61,889.5699
2026-04-08 18:00:00,71254.516,69687.93,72776.14,973.4949
2026-04-08 19:00:00,71241.9,69597.06,72711.01,764.33636
2026-04-08 20:00:00,71270.24,69268.414,72685.55,823.5334
2026-04-08 21:00:00,71281.0,69371.7,72495.19,734.7902
2026-04-08 22:00:00,71297.95,69719.5,72664.71,798.1827
2026-04-08 23:00:00,71312.57,69918.414,72559.05,738.2831
2026-04-09 00:00:00,71365.37,69885.59,72741.99,678.6923
2026-04-09 01:00:00,71252.27,69831.984,72756.22,694.36664
2026-04-09 02:00:00,71229.984,69311.375,72602.97,738.39575
2026-04-09 03:00:00,71142.46,69423.78,72887.51,722.72736
2026-04-09 04:00:00,71118.02,69554.086,72623.88,743.1236
2026-04-09 05:00:00,71039.6,69272.04,72538.516,771.01447
2026-04-09 06:00:00,70941.55,69119.1,72897.414,758.4082
