timestamp,close_mean,close_min,close_max,volume_mean
2026-04-08 07:30:00,71781.51,71341.125,72147.72,206.08734
2026-04-08 07:45:00,71772.73,71266.3,72115.85,175.91734
2026-04-08 08:00:00,71693.625,70801.71,72021.11,266.3766
2026-04-08 08:15:00,71674.914,70814.3,72195.4,244.8539
2026-04-08 08:30:00,71670.93,70894.36,72170.4,226.03516
2026-04-08 08:45:00,71621.836,70756.22,72084.234,170.54057
2026-04-08 09:00:00,71556.92,70390.94,72162.95,210.7619
2026-04-08 09:15:00,71554.67,70370.75,72147.58,205.18619
2026-04-08 09:30:00,71547.35,70831.33,72333.58,177.69316
2026-04-08 09:45:00,71543.74,70676.45,72326.46,183.1274
2026-04-08 10:00:00,71530.41,70672.51,72476.21,192.24184
2026-04-08 10:15:00,71512.38,70604.43,72430.3,169.73695
2026-04-08 10:30:00,71492.555,70328.28,72168.66,159.38148
2026-04-08 10:45:00,71486.25,70507.4,72170.125,152.02144
2026-04-08 11:00:00,71494.57,70258.375,72163.79,172.19582
2026-04-08 11:15:00,71440.41,70440.875,72139.88,177.81749
2026-04-08 11:30:00,71476.64,70275.38,72251.41,171.35655
2026-04-08 11:45:00,71413.22,70253.13,72143.11,154.84906
2026-04-08 12:00:00,71404.984,69941.16,72119.77,197.75917
2026-04-08 12:15:00,71409.766,69986.86,72161.625,199.04807
2026-04-08 12:30:00,71361.6,70346.11,72108.055,181.09267
2026-04-08 12:45:00,71356.79,70319.95,72087.09,178.40996
2026-04-08 13:00:00,71397.42,70094.0,72227.19,185.07729
2026-04-08 13:15:00,71322.68,70018.12,72329.15,187.63647
